onet_soc_2010;element_id;element_name;date;source;value
11-2011.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.3067
11-2021.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;2.12
11-2021.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.28
11-2021.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.2
11-2021.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1.16
11-2021.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.2086
11-2021.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1
11-2021.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1
11-2021.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1
11-2021.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;1.1667
11-2021.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.04
11-2021.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;1.12
11-2021.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.04
11-2022.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;2.1908
11-2022.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.9527
11-2022.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.9044
11-2022.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1.8092
11-2022.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.3333
11-2022.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1.1429
11-2022.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1.2379
11-2022.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.2855
11-2022.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;1.1903
11-2022.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.4288
11-2022.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;1.2855
11-2022.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.2379
11-2031.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Incumbent;2.4936
11-2031.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Incumbent;1.5037
11-2031.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Incumbent;1.4793
11-2031.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Incumbent;1.3929
11-2031.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Incumbent;1.1444
11-2031.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Incumbent;1.0279
11-2031.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Incumbent;1
11-2031.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Incumbent;1.3456
11-2031.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Incumbent;1.0762
11-2031.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Incumbent;1.0967
11-2031.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Incumbent;1.1164
11-2031.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Incumbent;1.1724
11-3011.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Incumbent;2.4077
11-3011.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Incumbent;1.4741
11-3011.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Incumbent;1.4365
11-3011.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Incumbent;2.3306
11-3011.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Incumbent;1.4844
11-3011.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Incumbent;1.0928
11-3011.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Incumbent;1.2429
11-3011.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Incumbent;1.8569
11-3011.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Incumbent;1.118
11-3011.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Incumbent;1.3333
11-3011.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Incumbent;1.1629
11-3011.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Incumbent;1.3274
11-3021.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Incumbent;2.318
11-3021.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Incumbent;1.3668
11-3021.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Incumbent;1.4388
11-3021.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Incumbent;1.3732
11-3021.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Incumbent;1.5544
11-3021.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Incumbent;1.0062
11-3021.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Incumbent;1.0295
11-3021.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Incumbent;1.1404
11-3021.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Incumbent;1.2269
11-3021.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Incumbent;1.1533
11-3021.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Incumbent;1.0621
11-3021.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Incumbent;1.0779
11-3031.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Incumbent;2.8391
11-3031.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Incumbent;1.0444
11-3031.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Incumbent;1.057
11-3031.01;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Incumbent;1.5744
11-3031.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Incumbent;1.0683
11-3031.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Incumbent;1
11-3031.01;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Incumbent;1
11-3031.01;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Incumbent;1.276
11-3031.01;4.C.2.c.1.c;Exposed to High Places;Jun 06;Incumbent;1.0067
11-3031.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Incumbent;1.073
11-3031.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Incumbent;1.0748
11-3031.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Incumbent;1.1453
11-3031.02;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Incumbent;1.8623
11-3031.02;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Incumbent;1.166
11-3031.02;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Incumbent;1
11-3031.02;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Incumbent;1.185
11-3031.02;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Incumbent;1.3318
11-3031.02;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Incumbent;1
11-3031.02;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Incumbent;1
11-3031.02;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Incumbent;1.0252
11-3031.02;4.C.2.c.1.c;Exposed to High Places;Jun 06;Incumbent;1
11-3031.02;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Incumbent;1
11-3031.02;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Incumbent;1
11-3031.02;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Incumbent;1.0564
11-3051.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Incumbent;4.0683
11-3051.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Incumbent;3.0731
11-3051.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Incumbent;2.3686
11-3051.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Incumbent;4.0269
11-3051.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Incumbent;1.8608
11-3051.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Incumbent;1.4799
11-3051.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Incumbent;1.0096
11-3051.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Incumbent;1.1147
11-3051.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Incumbent;1.9538
11-3051.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Incumbent;2.5497
11-3051.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Incumbent;3.4079
11-3051.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Incumbent;3.2712
11-3061.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Occupational Expert;2.7919
11-3061.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Occupational Expert;1.3333
11-3061.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Occupational Expert;1.125
11-3061.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Occupational Expert;1.4583
11-3061.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Occupational Expert;1.0833
11-3061.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Occupational Expert;1
11-3061.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Occupational Expert;1.0833
11-3061.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Occupational Expert;1.1252
11-3061.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Occupational Expert;1.2084
11-3061.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Occupational Expert;1.2084
11-3061.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Occupational Expert;1.5
11-3061.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Occupational Expert;1.2083
11-3071.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Occupational Expert;2.7827
11-3071.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Occupational Expert;2.0001
11-3071.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Occupational Expert;1.8699
11-3071.01;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Occupational Expert;2.0004
11-3071.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Occupational Expert;1.4349
11-3071.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Occupational Expert;1
11-3071.01;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Occupational Expert;1
11-3071.01;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Occupational Expert;1
11-3071.01;4.C.2.c.1.c;Exposed to High Places;Jun 09;Occupational Expert;1.0435
11-3071.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Occupational Expert;1.5219
11-3071.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Occupational Expert;1.8694
11-3071.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Occupational Expert;1.087
11-3071.02;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;2.6247
11-3071.02;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.8336
11-3071.02;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.4168
11-3071.02;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1.9168
11-3071.02;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.2084
11-3071.02;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1
11-3071.02;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1
11-3071.02;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1
11-3071.02;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;2.3751
11-3071.02;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.2501
11-3071.02;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;2.4585
11-3071.02;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.4168
11-3111.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;1.9044
11-3111.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.0952
11-3111.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.1429
11-3111.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.0952
11-3111.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;1.0476
11-3111.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;1
11-3111.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.0952
11-3121.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;1.5004
11-3121.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.1818
11-3121.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.1364
11-3121.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1.2275
11-3121.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.0909
11-3121.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1
11-3121.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1
11-3121.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.4095
11-3121.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;1.0455
11-3121.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.0455
11-3121.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;1.0909
11-3121.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.2273
11-3131.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;2.4167
11-3131.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;1.3748
11-3131.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.4167
11-3131.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;1.2916
11-3131.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.3752
11-3131.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1.125
11-3131.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1.0417
11-3131.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.125
11-3131.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;1.25
11-3131.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.2502
11-3131.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;1.3753
11-3131.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.3334
11-9013.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 07;Incumbent;3.41
11-9013.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 07;Incumbent;4.1946
11-9013.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 07;Incumbent;2.3406
11-9013.01;4.C.2.b.1.d;Exposed to Contaminants;Jun 07;Incumbent;3.642
11-9013.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 07;Incumbent;2.1302
11-9013.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 07;Incumbent;2.3401
11-9013.01;4.C.2.c.1.a;Exposed to Radiation;Jun 07;Incumbent;1.1375
11-9013.01;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 07;Incumbent;1.1524
11-9013.01;4.C.2.c.1.c;Exposed to High Places;Jun 07;Incumbent;1.6509
11-9013.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 07;Incumbent;3.3827
11-9013.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 07;Incumbent;2.2135
11-9013.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 07;Incumbent;3.8853
11-9013.03;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Dez 06;Occupational Expert;3.4515
11-9013.03;4.C.2.b.1.b;Very Hot or Cold Temperatures;Dez 06;Occupational Expert;3.7095
11-9013.03;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Dez 06;Occupational Expert;2.9999
11-9013.03;4.C.2.b.1.d;Exposed to Contaminants;Dez 06;Occupational Expert;3.2261
11-9013.03;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Dez 06;Occupational Expert;2.5804
11-9013.03;4.C.2.b.1.f;Exposed to Whole Body Vibration;Dez 06;Occupational Expert;1.6452
11-9013.03;4.C.2.c.1.a;Exposed to Radiation;Dez 06;Occupational Expert;1.0323
11-9013.03;4.C.2.c.1.b;Exposed to Disease or Infections;Dez 06;Occupational Expert;1.6774
11-9013.03;4.C.2.c.1.c;Exposed to High Places;Dez 06;Occupational Expert;1.8711
11-9013.03;4.C.2.c.1.d;Exposed to Hazardous Conditions;Dez 06;Occupational Expert;2.3873
11-9013.03;4.C.2.c.1.e;Exposed to Hazardous Equipment;Dez 06;Occupational Expert;2.9677
11-9013.03;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Dez 06;Occupational Expert;2.9034
11-9021.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;3.7184
11-9021.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;2.9998
11-9021.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;2.7191
11-9021.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;3.2816
11-9021.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;2.3125
11-9021.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1.3748
11-9021.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1.1248
11-9021.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.2498
11-9021.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;2.7187
11-9021.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;2.4374
11-9021.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;3.0623
11-9021.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;2
11-9031.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.6206
11-9031.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;1.2402
11-9031.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.0473
11-9031.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;1.4498
11-9031.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.1387
11-9031.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1
11-9031.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1
11-9031.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;3.3787
11-9031.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1
11-9031.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1
11-9031.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;1
11-9031.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.7093
11-9032.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;3.0438
11-9032.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;1.9229
11-9032.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.3655
11-9032.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;2.2054
11-9032.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.1848
11-9032.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1
11-9032.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1
11-9032.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;2.9521
11-9032.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.2195
11-9032.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1.167
11-9032.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;1.1759
11-9032.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.5163
11-9033.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.7506
11-9033.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;1.4206
11-9033.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.3267
